Epoch: 0
  0%|          | 0/4000 [00:00<?, ?it/s]
Loss: 3.57395076751709, Accuracy: 0.0
Loss: 3.4837021827697754, Accuracy: 0.5
Loss: 4.2421488761901855, Accuracy: 0.0
Loss: 3.9515750408172607, Accuracy: 0.0
Loss: 4.138960361480713, Accuracy: 0.0
Loss: 4.046902656555176, Accuracy: 0.0
Loss: 3.26316237449646, Accuracy: 0.5
Loss: 3.668485641479492, Accuracy: 0.0
Loss: 4.099245548248291, Accuracy: 0.0
Loss: 3.7579641342163086, Accuracy: 0.0
Loss: 3.5572140216827393, Accuracy: 0.0
Loss: 3.543178081512451, Accuracy: 0.0
Loss: 4.3363037109375, Accuracy: 0.0
Loss: 4.1261491775512695, Accuracy: 0.0
Loss: 3.481614589691162, Accuracy: 0.0
Loss: 3.3724727630615234, Accuracy: 0.0
Loss: 4.104452133178711, Accuracy: 0.0
Loss: 4.0164570808410645, Accuracy: 0.0
Loss: 4.020780563354492, Accuracy: 0.0
Loss: 3.8924784660339355, Accuracy: 0.0
Loss: 4.098241329193115, Accuracy: 0.0
Loss: 3.3775086402893066, Accuracy: 0.0
Loss: 3.1087028980255127, Accuracy: 0.5
Loss: 3.725050926208496, Accuracy: 0.0
Loss: 3.777078628540039, Accuracy: 0.0
Loss: 3.2912302017211914, Accuracy: 0.0
Loss: 2.5199038982391357, Accuracy: 0.0
Loss: 3.429161310195923, Accuracy: 0.0
Loss: 2.614161252975464, Accuracy: 0.0
Loss: 3.565843343734741, Accuracy: 0.0
Loss: 4.8315839767456055, Accuracy: 0.0
Loss: 3.8165271282196045, Accuracy: 0.0
Loss: 5.010921478271484, Accuracy: 0.0
Loss: 2.878666639328003, Accuracy: 0.5
Loss: 3.19649076461792, Accuracy: 0.0
Loss: 4.422275066375732, Accuracy: 0.0
Loss: 5.169804573059082, Accuracy: 0.0
Loss: 4.567618370056152, Accuracy: 0.0
Loss: 2.905982494354248, Accuracy: 0.0
Loss: 3.2097227573394775, Accuracy: 0.0
Loss: 4.396225452423096, Accuracy: 0.0
Loss: 2.896261215209961, Accuracy: 0.5
Loss: 3.7241976261138916, Accuracy: 0.0
Loss: 3.2912659645080566, Accuracy: 0.5
Loss: 3.5491461753845215, Accuracy: 0.0
Loss: 4.087538719177246, Accuracy: 0.0
Loss: 2.7363319396972656, Accuracy: 0.5
Loss: 3.4121248722076416, Accuracy: 0.0
Loss: 3.805105686187744, Accuracy: 0.0
Loss: 2.4267239570617676, Accuracy: 0.5
Loss: 2.2549290657043457, Accuracy: 0.5
Loss: 4.677386283874512, Accuracy: 0.0
Loss: 3.984652042388916, Accuracy: 0.0
Loss: 2.7601699829101562, Accuracy: 0.0
Loss: 3.836221694946289, Accuracy: 0.0
Loss: 3.397996664047241, Accuracy: 0.0
Loss: 2.225569486618042, Accuracy: 0.0
Loss: 3.916116952896118, Accuracy: 0.0
Loss: 3.1644463539123535, Accuracy: 0.5
Loss: 3.472240924835205, Accuracy: 0.0
Loss: 3.061671733856201, Accuracy: 0.0
Loss: 2.9206089973449707, Accuracy: 0.5
Loss: 4.720787525177002, Accuracy: 0.0
Loss: 5.512531280517578, Accuracy: 0.0
Loss: 3.918180465698242, Accuracy: 0.0
Loss: 1.6600463390350342, Accuracy: 1.0
Loss: 5.277043342590332, Accuracy: 0.0
Loss: 3.487412929534912, Accuracy: 0.0
Loss: 2.9631028175354004, Accuracy: 0.5
Loss: 1.5577406883239746, Accuracy: 1.0
Loss: 2.4008004665374756, Accuracy: 0.5
Loss: 2.0284721851348877, Accuracy: 1.0
Loss: 4.6074981689453125, Accuracy: 0.0
Loss: 3.4223127365112305, Accuracy: 0.0
Loss: 3.661130428314209, Accuracy: 0.0
Loss: 2.4466354846954346, Accuracy: 0.5
Loss: 2.2649123668670654, Accuracy: 0.5
Loss: 3.6144216060638428, Accuracy: 0.0
Loss: 2.559912919998169, Accuracy: 0.0
Loss: 2.3109121322631836, Accuracy: 0.5
Loss: 3.509305000305176, Accuracy: 0.0
Loss: 2.2994236946105957, Accuracy: 0.0
Loss: 4.142387390136719, Accuracy: 0.0
Loss: 4.403768539428711, Accuracy: 0.0
Loss: 3.6896700859069824, Accuracy: 0.0
Loss: 3.513312578201294, Accuracy: 0.0
Loss: 3.866995334625244, Accuracy: 0.0
Loss: 3.695394992828369, Accuracy: 0.0
Loss: 1.9890618324279785, Accuracy: 0.5
Loss: 0.34271204471588135, Accuracy: 1.0
Loss: 1.2687852382659912, Accuracy: 0.5
Loss: 1.6252415180206299, Accuracy: 1.0
Loss: 3.8528761863708496, Accuracy: 0.0
Loss: 5.235054969787598, Accuracy: 0.0
Loss: 1.8950328826904297, Accuracy: 0.5
Loss: 4.98192024230957, Accuracy: 0.0
Loss: 2.3070456981658936, Accuracy: 0.5
Loss: 3.428555488586426, Accuracy: 0.0
Loss: 4.533621788024902, Accuracy: 0.0
Loss: 1.1864064931869507, Accuracy: 0.5
Loss: 3.1035561561584473, Accuracy: 0.0
Loss: 1.649336814880371, Accuracy: 1.0
Loss: 2.2038638591766357, Accuracy: 0.5
Loss: 4.147491455078125, Accuracy: 0.0
Loss: 4.1922688484191895, Accuracy: 0.0
Loss: 2.689892292022705, Accuracy: 0.5
Loss: 4.760476112365723, Accuracy: 0.0
Loss: 1.5169591903686523, Accuracy: 0.5
Loss: 4.4802470207214355, Accuracy: 0.0
Loss: 2.870898723602295, Accuracy: 0.5
Loss: 3.962914228439331, Accuracy: 0.0
Loss: 3.1880388259887695, Accuracy: 0.5
Loss: 2.794339179992676, Accuracy: 0.5
Loss: 3.003323554992676, Accuracy: 0.5
Loss: 3.3654046058654785, Accuracy: 0.0
Loss: 4.6866044998168945, Accuracy: 0.0
Loss: 0.2204490453004837, Accuracy: 1.0
Loss: 3.39782977104187, Accuracy: 0.0
Loss: 3.6544435024261475, Accuracy: 0.0
Loss: 2.1525347232818604, Accuracy: 0.0
Loss: 4.597174644470215, Accuracy: 0.0
Loss: 3.0682482719421387, Accuracy: 0.5
Loss: 1.9796326160430908, Accuracy: 0.5
Loss: 3.4924988746643066, Accuracy: 0.0
Loss: 3.9160237312316895, Accuracy: 0.0
Loss: 0.22254039347171783, Accuracy: 1.0
Loss: 4.0968918800354, Accuracy: 0.0
Loss: 4.54105281829834, Accuracy: 0.0
Loss: 2.273130178451538, Accuracy: 0.5
Loss: 1.8024861812591553, Accuracy: 0.5
Loss: 3.127270221710205, Accuracy: 0.5
Loss: 2.924264430999756, Accuracy: 0.5
Loss: 3.6873087882995605, Accuracy: 0.0
Loss: 3.700324535369873, Accuracy: 0.0
Loss: 3.4679129123687744, Accuracy: 0.0
Loss: 2.9561614990234375, Accuracy: 0.0
Loss: 2.965970039367676, Accuracy: 0.0
Loss: 3.2679243087768555, Accuracy: 0.0
Loss: 2.5317301750183105, Accuracy: 0.5
Loss: 4.038173675537109, Accuracy: 0.0
Loss: 4.092462062835693, Accuracy: 0.0
Loss: 3.1796555519104004, Accuracy: 0.5
Loss: 2.163337230682373, Accuracy: 0.5
Loss: 2.595316171646118, Accuracy: 0.5
Loss: 3.3724632263183594, Accuracy: 0.0
Loss: 2.825099229812622, Accuracy: 0.0
Loss: 3.661842107772827, Accuracy: 0.0
Loss: 1.7291431427001953, Accuracy: 0.5
Loss: 1.8650436401367188, Accuracy: 0.5
Loss: 2.563173770904541, Accuracy: 0.0
Loss: 4.601902961730957, Accuracy: 0.0
Loss: 4.43412446975708, Accuracy: 0.0
Loss: 1.5364561080932617, Accuracy: 0.5
Loss: 3.516953945159912, Accuracy: 0.0
Loss: 3.5597164630889893, Accuracy: 0.0
Loss: 3.3160338401794434, Accuracy: 0.0
Loss: 3.171165943145752, Accuracy: 0.5
Loss: 3.737830638885498, Accuracy: 0.0
Loss: 3.592332601547241, Accuracy: 0.0
Loss: 1.8441674709320068, Accuracy: 0.5
Loss: 2.687310218811035, Accuracy: 0.0
Loss: 3.098142147064209, Accuracy: 0.5
Loss: 2.1304895877838135, Accuracy: 0.5
Loss: 2.268301486968994, Accuracy: 0.5
Loss: 3.3673954010009766, Accuracy: 0.0
Loss: 0.6955877542495728, Accuracy: 1.0
Loss: 2.7065529823303223, Accuracy: 0.5
Loss: 3.739027738571167, Accuracy: 0.0
Loss: 2.6167049407958984, Accuracy: 0.5
Loss: 0.5253748297691345, Accuracy: 1.0
Loss: 3.7658467292785645, Accuracy: 0.0
Loss: 0.9752740859985352, Accuracy: 1.0
Loss: 2.883078098297119, Accuracy: 0.5
Loss: 0.2726077139377594, Accuracy: 1.0
Loss: 3.7634592056274414, Accuracy: 0.0
Loss: 0.0015675153117626905, Accuracy: 1.0
